,URL,Page_Source,text
2438,https://www.fbi.gov/contact-us/field-offices/minneapolis/news/fort-thompson-man-sentenced-for-abusive-sexual-contact-of-a-child,30,
2713,https://www.fbi.gov/contact-us/field-offices/mobile/news/two-dale-county-residents-sentenced-for-sexually-exploiting-a-child,33,
1232,https://www.fbi.gov/contact-us/field-offices/jacksonville/news/north-carolina-sex-offender-indicted-for-attempting-to-entice-11-year-old-child-to-engage-in-sexual-activity,8,"An official website of the United States government Jacksonville, Florida – United States Attorney Gregory W. Kehoe announces the return of an indictment charging Geoffrey Lee Dudding (39, Concord, NC) with attempting to entice an 11-year-old child to engage in sexual activity. If convicted, Dudding faces a minimum penalty of 10 years, up to life, in federal prison and a potential lifetime term of supervised release. Dudding is a registered child sex offender who was twice previously convicted in North Carolina – once of indecent liberty with a minor (2007) and of solicitation of a child by computer to commit an unlawful sex act (2024). According to court documents, on January 13, 2025, an FBI agent (UC) in Jacksonville was conducting an undercover operation to identify individuals seeking to make online contact with and engage in sexual activity with children. Posing as the parent of an 11-year-old child, the UC posted several short messages in a public chatroom on an online social messaging platform (app). An individual using the name “metalh34d321,” who was subsequently identified as Dudding, contacted the UC by private text message on the app and expressed interest in the UC’s “daughter.” Dudding told the UC, “Let me know if ya ever down to let me do her.” Despite being advised several times that the “child” was 11 years old and lived in Florida, Dudding stated that he wanted to meet the “child” to “[h]ave a good time and sex.” Dudding described sexual acts that he wanted to perform on the “child” and sent the UC an explicit video of himself to show to the “child.” Dudding and the UC also communicated by cellphone text messaging. They discussed plans for Dudding to travel to Jacksonville so that he could engage in sexual activity with the “child.” Dudding told the UC that he would book a hotel room in Jacksonville. On May 8, 2025, Dudding was arrested by FBI agents in Concord, North Carolina. He was detained and will be transported by the United States Marshals Service to Jacksonville for prosecution in this case. This case was investigated by the Federal Bureau of Investigation, the St. Johns County Sheriff’s Office, and the Cabarrus County (North Carolina) Sheriff’s Office. It is being prosecuted by Assistant United States Attorney D. Rodney Brown. An indictment is merely a formal charge that a defendant has committed one or more violations of federal criminal law, and every defendant is presumed innocent unless, and until, proven guilty. It is another case brought as part of Project Safe Childhood, a nationwide initiative launched in 2006 by the Department of Justice to combat the growing epidemic of child sexual exploitation and abuse. Led by the United States Attorneys’ Offices and the Criminal Division’s Child Exploitation and Obscenity Section, Project Safe Childhood marshals federal, state, and local resources to locate, apprehend, and prosecute individuals who sexually exploit children, and to identify and rescue child victims. For more information about Project Safe Childhood, please visit www.justice.gov/psc. Orlando, Florida – U.S. District Judge Julie S. Sneed has sentenced Dariel Javier Quiles-Davila (27, Kissimmee) to seven years in federal prison for receiving child sexual abuse material. Quiles-Davila was found... Tampa, FL – Earlier today, the Department of Justice announced the results of Operation Relentless Justice, a coordinated enforcement effort to identify, track, and arrest child sex predators. The nationwide... Jacksonville, Florida – United States Attorney Gregory W. Kehoe announces the  return of an indictment charging Justin Charles Brown (45, Ocala) with producing child sex abuse material (CSAM) and possessing CSAM. If convicted... Middle District of Florida
Tampa Office - (Headquarters):
U.S. Attorney's Office
400 North Tampa Street
Suite 3200
Tampa, FL 33602 Have a question about Government Services?"
191,https://www.fbi.gov/contact-us/field-offices/pittsburgh/news/duquesne-resident-sentenced-to-three-decades-of-prison-for-production-of-child-sexual-abuse-materials,18,"An official website of the United States government PITTSBURGH, Pa. - A resident of Duquesne, Pennsylvania, has been sentenced in federal court to 30 years of incarceration on each of three counts, to be served concurrently and then followed by lifetime supervised release, on his conviction of production and attempted production of material depicting the sexual exploitation of a minor, United States Attorney Eric G. Olshan announced today. United States District Judge W. Scott Hardy imposed the sentence on George Cobbs, 41. According to information presented to the Court, on multiple occasions, Cobbs attempted to and did use, persuade, induce, entice, and coerce a minor to engage in sexually explicit conduct for the purpose of producing visual depictions of such conduct. Prior to imposing sentence, Judge Hardy noted that Cobbs had violated the minor victim’s trust for his own gratification and denounced Cobbs’ memorialization of his sexual abuse of the minor as degrading the minor’s personhood. Assistant United States Attorney Heidi M. Grogan prosecuted this case on behalf of the government. United States Attorney Olshan commended the FBI Pittsburgh Child Exploitation and Human Trafficking Task Force, including the Federal Bureau of Investigation, Allegheny County Police Department, and Duquesne Police Department, for the investigation leading to the successful prosecution of Cobbs. This case was brought as part of Project Safe Childhood, a nationwide initiative launched in May 2006 by the Department of Justice to combat the growing epidemic of child sexual exploitation and abuse. Led by the United States Attorneys' Offices and the Criminal Division's Child Exploitation and Obscenity Section, Project Safe Childhood marshals federal, state, and local resources to locate, apprehend, and prosecute individuals who sexually exploit children, and to identify and rescue victims. For more information about Project Safe Childhood, please visit www.justice.gov/psc. 700 Grant Street, Suite 4000
Pittsburgh, PA 15219 17 South Park Row, Room A330
Erie, PA 16501 319 Washington Street, Suite 200
Johnstown, PA 15901 Pittsburgh: 412-644-3500
Fax: 412-644-4549 Erie: 814-452-2906
Fax: 814-455-6951 Johnstown: 814-533-4547
Fax: 814-533-4545 Have a question about Government Services?"
852,https://www.fbi.gov/contact-us/field-offices/cleveland/news/toledo-man-sentenced-to-over-26-years-for-coercion-and-enticement-of-a-minor-and-drug-trafficking,25,"An official website of the United States government TOLEDO – Derrick Murphy, 40 of Toledo, Ohio was sentenced to 320 months imprisonment by U.S. District Judge Jeffrey Helmick after earlier pleading guilty to enticement of a minor and drug charges. Judge Helmick also ordered Murphy to serve 10 years of supervised release upon release from imprisonment. Murphy was sentenced to 180 months for his role in a drug conspiracy and for distributing and possessing with intent to distribute narcotics. According to court documents, in late July 2019, FBI agents in Toledo, Ohio received information from FBI agents in San Diego, California and Charlotte, North Carolina that a courier for a Sinaloa Mexico based drug trafficking organization had been identified bringing kilogram quantities of cocaine, heroin, and fentanyl to Toledo. Further investigation by the Toledo agents identified Murphy as the local distributor leader. After a lengthy investigation, agents in late April 2021 received information that Murphy was expecting another large shipment of suspected fentanyl to be delivered. After surveillance, a subsequent traffic stop led to the seizure of approximately 5 kilograms of fentanyl and $17,515 in U.S. currency from members of Murphy’s organization. Subsequent federal search warrants resulted in the seizure of additional quantities of fentanyl, heroin, cocaine, and methamphetamine. Murphy was also sentenced to 140 months for coercing and enticing a minor to engage in the production of sexually explicit materials from December 2020 to May 2021. Both sentences were ordered to be served consecutive to each other. This case was investigated by the FBI in conjunction with the Toledo Metro Drug Task Force and the Toledo Human Trafficking and Child Exploitation Task Force. The case was prosecuted by Assistant United States Attorney Alissa Sterling. Thomas P. Weldon
Thomas.Weldon@usdoj.gov
(216) 622-3651 The Department of Justice announced the results of Operation Relentless Justice, a coordinated enforcement effort to identify, track, and arrest child sex predators. In conjunction with the operation, the U.S... A 44-year-old Lorain man, Tiawan Taylor, has been sentenced to 10 years in prison and for possession with intent to distribute controlled substances. The U.S. Attorney’s Office for the Northern District of Ohio announced the unsealing of a federal indictment Dec. 9 charging four individuals allegedly involved in an international drug trafficking conspiracy. Northern District of Ohio
Main Office:
Office of the United States Attorney
801 West Superior Avenue; Suite 400
Cleveland, Ohio 44113-1852 Telephone: 216-622-3600
TTY: 216-522-3086 Have a question about Government Services?"
134,https://www.fbi.gov/contact-us/field-offices/miami/news/west-palm-beach-sex-offender-convicted-by-jury-for-failure-to-properly-register,18,"An official website of the United States government MIAMI – On April 22, 2024, after a six-day trial, a federal jury convicted Ramon Fuertes, a/k/a “Raymond Cortez,” of West Palm Beach, Florida of four counts of failure of a sex offender to properly register, in violation of 18 U.S.C. § 2250(a). According to evidence introduced during the trial in West Palm Beach, Fuertes had been convicted in 2009 in federal court for sex trafficking of a minor and enticement of a minor. In 2018, upon completion of his federal prison sentence, Fuentes registered as a sex offender.  In January and May 2023, Fuertes created and used two email addresses and a social networking account. Fuertes did not properly register these internet identifiers with the Palm Beach County Sheriff’s Office as required by the Federal Sex Offender Registration and Notification Act (SORNA). Moreover, on June 2, 2023, Fuertes vacated his West Palm Beach residence and flew to Georgia to live without notifying the proper authorities in the Southern District of Florida that he was terminating his residence in that jurisdiction and commencing his residence in another jurisdiction. As the evidence at trial showed, while in Georgia, Fuertes did not properly register as a sex offender and by late July 2023, stopped communicating with law enforcement in Georgia and Florida about his whereabouts.  An arrest warrant was issued for Fuertes shortly thereafter. He was arrested by the U.S. Marshals Service (USMS) Fugitive Task Force on Oct. 24, 2023. A sentencing hearing is scheduled in this matter for July 18, 2024, before U.S. District Judge Melissa Damian. U.S. Attorney Markenzy Lapointe for the Southern District of Florida and U.S. Marshal Gadyaces S. Serralta of the USMS made the announcement. USMS Miami investigated this matter, with assistance from the Palm Beach County Sheriff’s Office, FBI, and Georgia Bureau of Investigations, as well as the Dekalb County Sheriff’s Office, Gwinnett County Sheriff’s Office, and Gwinnett County Police Department, all in Georgia.  Assistant U.S. Attorney Gregory Schiller is prosecuting the case. Related court documents and information may be found on the website of the District Court for the Southern District of Florida at www.flsd.uscourts.govLinks to other government and non-government sites will typically appear with the “external link” icon to indicate that you are leaving the Department of Justice website when you click the link. or at http://pacer.flsd.uscourts.govLinks to other government and non-government sites will typically appear with the “external link” icon to indicate that you are leaving the Department of Justice website when you click the link., under case number 23-CR-80208. U.S. Attorney’s Office Southern District of Florida USAFLS.News@usdoj.gov A Charlotte, North Carolina man has pleaded guilty in Fort Pierce on Oct. 14 to enticing a minor to produce child sexual abuse material (CSAM). A federal jury in Miami convicted a Malaysian national on Oct. 23 for abusive sexual contact of a minor aboard a cruise ship sailing in international waters. On Sept. 10, a federal jury in Miami convicted Argentine national Osvaldo Daniel Fernandez, 61, of two counts of production and one count of possession of child sexual abuse material (CSAM). Southern District of Florida
Main Office:
99 N.E. 4th Street
Miami, Fl. 33132 Telephone: (305) 961-9001
Fax Line: (305) 530-7679 Have a question about Government Services?"
2790,https://www.fbi.gov/contact-us/field-offices/newark/news/repeat-offender-admits-possessing-child-pornography,33,
1195,https://www.fbi.gov/contact-us/field-offices/neworleans/news/new-orleans-resident-sentenced-to-10-years-in-federal-prison-for-possession-and-receipt-of-online-child-sexual-abuse-material,7,"An official website of the United States government NEW ORLEANS, LA – Acting U.S. Attorney Michael M. Simpson announced today that STEPHEN BADON (“BADON ”), age 35, of New Orleans, was sentenced on May 13, 2025, to 120 months imprisonment, followed by 25 years of supervised release, by U.S. District Judge Jay C. Zainey, after previously pleading guilty to receipt of child pornography, and distribution of child pornography, both in violation of Title 18, United States Code, Sections 2252(a)(2) and (b)(1).  Additionally, BADON was ordered to pay $86,500 in restitution to numerous victims, as well as a $100 mandatory special assessment fee. According to court documents, the case against BADON stemmed from an online Child Sexual Abuse Material (CSAM) investigation by the Federal Bureau of Investigation (FBI).  On August 2, 2023, FBI special agents executed a federal search warrant at BADON’s New Orleans home. FBI agents seized four electronic devices from BADON’s residence and subsequently located over 88,000 files of CSAM material throughout the four devices.  BADON was subsequently arrested by the FBI. This case was brought as part of Project Safe Childhood, a nationwide initiative to combat the growing epidemic of child sexual exploitation and abuse launched in May 2006 by the Department of Justice.  Led by United States Attorney’s Offices and the Criminal Division’s Child Exploitation and Obscenity Section (CEOS), Project Safe Childhood marshals federal, state and local resources to better locate, apprehend and prosecute individuals who exploit children via the Internet, as well as to identify and rescue victims.  For more information about Project Safe Childhood, please visit www.projectsafechildhood.gov. Acting U.S. Attorney Simpson praised the work of the Federal Bureau of Investigation.  This case is being prosecuted by Assistant United States Attorney Stuart Theriot of the Narcotics Unit. Public Information Officer United States Attorney’s Office, Eastern District of Louisiana United States Department of Justice NEW ORLEANS, LA – Acting U.S. Attorney Michael M. Simpson announced that on December 10, 2025, following a three-day trial, a federal jury convicted AARON TEROD JOHNSON (“JOHNSON”), age 37... NEW ORLEANS – Acting U.S. Attorney Michael M. Simpson announced that JONATHAN SUAREZ (“SUAREZ”), age 29, a resident of Slidell, Louisiana, pleaded guilty on December 2, 2025 before... NEW ORLEANS –  Acting U.S. Attorney Michael M. Simpson announced that MARK BROOKS (a/k/a “Baby Nu”), age 35, from New Orleans, pled guilty on November 20, 2025 before United... Eastern District of Louisiana
650 Poydras Street, Suite 1600
New Orleans, Louisiana 70130 Telephone: 504-680-3000 Have a question about Government Services?"
1966,https://www.fbi.gov/contact-us/field-offices/albuquerque/news/us-attorneys-office-secures-sentence-for-convicted-child-predator,15,"An official website of the United States government ALBUQUERQUE – A Dulce man has been sentenced to 30 years in prison following a trial where evidence revealed that between January 2016 and January 2020, Joel Ruiz, 65, used candy to lure two children under the age of 12 into his trailer on the Jicarilla Apache Reservation, where he sexually assaulted them. There is no parole in the federal system. During the trial, Jane Doe 1 testified that Ruiz abused her when she was six or seven years old. The jury also heard from Jane Doe 2, who testified that Ruiz abused her once when she was three or four years old. Both victims described similar methods used by Ruiz to lure them and the abuse they suffered. Upon his release from prison, Ruiz will be subject to l0 years of supervised release. U.S. Attorney Alexander M.M. Uballez and Raul Bujanda, Special Agent in Charge of the FBI Albuquerque Field Office, made the announcement today. The Farmington Resident Agency of the FBI Albuquerque Field Office investigated this case with the assistance of the Jicarilla Apache Police Department. Assistant United States Attorneys Caitlin L. Dillon and Matthew J. McGinley prosecuted the case. Joe Daniel Gomez has been indicted on federal charges for allegedly attacking another man with hatchets. Harlan Joe has been charged after authorities say he beat a woman to death following a day of drinking. Victor Badonie was sentenced to 57 months in federal prison for strangling his dating partner and leaving her with life-threatening injuries. District of New Mexico
Main Office:
201 3rd Street NW, Suite 900
Albuquerque, New Mexico 87102 Telephone: (505) 346-7274
Fax (505) 346-7296 Have a question about Government Services?"
2748,https://www.fbi.gov/contact-us/field-offices/saltlakecity/news/fallon-man-sentenced-to-four-years-in-prison-for-possessing-child-pornography,33,
